No	PERC	UZL	K0	K1	K2	MAXBAS	Cet	PCALT	TCALT	Pelev	Telev	TT_1	CFMAX_1	SFCF_1	CFR_1	CWH_1	FC_1	LP_1	BETA_1	Contribution QSLZ	Contribution QSUZ	MeanDiff	Reff	R2	LogReff	VolumeError	LindstromMeasure	MAREMeasure
18	2.64586632263189	32.4807764042545	0.474549877259205	0.177460221525962	0.082688623820403	1.89464233624499	0.171925349706749	10	0.6	0	0	0.096313191389811	0.598907355032352	0.587540993694002	0.05	0.1	375.565863203055	0.468399984747358	2.51032292913195	0.890828674325803	0.109171325674196	36.415037895925	0.645808879530309	0.664347810181036	-0.285606437357875	0.861056292880826	0.631914508818392	0.35878616881358
36	2.33547205772971	69.2687462034024	0.200241150753685	0.134591072841823	0.0770141039237446	2.47024715224758	0.254622215058013	10	0.6	0	0	-0.507396266100647	0.547200585271791	0.556156434703691	0.05	0.1	483.965801882542	0.868021930506463	4.79981568818903	0.860763876429876	0.139236123570125	-2.930037114789	0.660997242595126	0.672550178229858	0.208618527169161	0.988820272001664	0.659879269795292	0.299889678417609
49	2.10336946048931	49.489353047446	0.155748614881071	0.131510964297462	0.0382567722298935	1.99533637705973	0.117333176693569	10	0.6	0	0	-0.169880159278344	1.02573845909244	0.778358843307178	0.05	0.1	435.664677683108	0.59476113812754	3.27923389816621	0.836297829056029	0.163702170943967	23.557078748913	0.723197960633368	0.733753814121959	0.57168454212189	0.910116588107724	0.71420961944414	0.331126369203921
76	0.166696675199408	64.9150002863794	0.387113307736401	0.0715822695296175	0.0509093483468794	1.0557099024559	0.293147696365205	10	0.6	0	0	0.11957331845517	0.51411465649219	0.580895936899304	0.05	0.1	320.639318120964	0.817414454984206	4.31444632975126	0.180904622330586	0.818857994614756	-25.918741765526	0.66051801183246	0.700199403604568	0.420717087039341	0.901105524726923	0.650628564305152	0.353867678157612
97	3.96697916088951	31.4163260028774	0.179107658974411	0.111080283900295	0.0340110620771586	1.4757885001487	0.246205362419693	10	0.6	0	0	-0.0140845899070077	1.1790885600164	0.601831859025095	0.05	0.1	116.804743775541	0.476616956003298	3.60780940326294	0.893101569006661	0.10465595142209	-45.980876092637	0.609582292087501	0.669677399650556	0.661083430561381	0.824557277706052	0.592038019858107	0.331101933533057
105	3.33970224640318	23.4654307660951	0.356896560386241	0.0133139049044409	0.0282931342747263	1.60319963870719	0.176664364187356	10	0.6	0	0	-1.28828876898079	0.542710909174155	0.755438554033376	0.05	0.1	258.656548735991	0.68903427565891	3.25390180119029	0.974407146325922	0.0159789893380881	-38.8306115087741	0.636592171706771	0.66047505373163	0.508496365119683	0.85183953046669	0.62177612475344	0.0836492869076086
144	3.18552840276879	47.627529947845	0.282283207859045	0.0425538123830007	0.091316780164706	2.06163404535578	0.0894923772613948	10	0.6	0	0	0.350748056709183	2.52823411511641	0.75789114137082	0.05	0.1	539.013078640687	0.688827229891358	3.05726265444293	0.958445575424985	0.0411662804443909	19.6748356262661	0.628738231168679	0.63376839391511	-0.0884365318185345	0.924929513826492	0.621231182551328	0.163646399231259
186	3.29698159512923	26.4408495307159	0.357412100330653	0.130765882227926	0.0207354502561667	1.81860071388939	0.0328143149767138	10	0.6	0	0	0.135236756706255	1.60072244638611	0.781132111084243	0.05	0.1	192.76102145331	0.410064125391685	1.673452718497	0.870459963572479	0.12211617150136	-41.2152399053616	0.61462213204403	0.638309635108045	0.366147839755139	0.842740841335281	0.598896216177559	-0.130330953476314
189	3.1591780386675	45.9538073912048	0.281033975156506	0.0454709278212259	0.044016902292225	1.07652917251761	0.240118607897367	10	0.6	0	0	0.49373978003568	2.00840530638043	0.884486163772869	0.05	0.1	391.459027021871	0.478514630849713	2.31559157060254	0.938602383009175	0.0608375194448653	7.6769518023501	0.741118136638504	0.746390907846483	0.480603244299368	0.970708141349673	0.738188950773471	0.246097660640883
204	2.32835980985703	21.7462882454257	0.187736258510377	0.0842711877796199	0.0522557119077797	2.29668801035578	0.200352304987773	10	0.6	0	0	0.190222168429858	1.90273287980945	0.745217879789517	0.05	0.1	457.431739479039	0.4281033289284	2.42491819030834	0.898100787256745	0.0943347740125547	50.4045375457795	0.613614532200361	0.655496879725585	0.460775110462352	0.807678538678059	0.594382386068167	0.365005572061176
209	3.54657599681363	27.8186996038159	0.103007072770506	0.014424041022744	0.0264643144637646	1.44930468613715	0.0337226463173156	10	0.6	0	0	-1.25714003120416	0.73568836075053	0.683925972778316	0.05	0.1	197.144578279529	0.591256875913244	4.01230856171451	0.972151644216237	0.0214162862727809	-21.4111457507427	0.628444014238571	0.635397048883205	0.600247594019303	0.918304520984446	0.620274466337015	0.254724686678211
237	3.50176580599591	30.481697302536	0.217894788886371	0.0566047070997789	0.0615478214938184	1.24251089931583	0.102164587193245	10	0.6	0	0	-0.21465931051162	1.17254431041542	0.729570002774508	0.05	0.1	291.809826480136	0.688104392489467	4.28335026990778	0.928898734102228	0.0648391919554469	-6.39290094806099	0.76926261539623	0.78675323723582	0.651916817067068	0.975607512492286	0.766823366645459	0.554706633461232
250	2.5024821136624	40.9526126091148	0.344660467209602	0.0459472736138605	0.0482477902706935	2.2862637558888	0.218504814719085	10	0.6	0	0	-0.925830306916419	0.503208565294374	0.599104611435488	0.05	0.1	199.746129917794	0.319014520067263	4.1767215929817	0.902151846295058	0.0975566782791588	11.9381884302494	0.689343239745693	0.700594058596414	0.2181336981529	0.954449143743121	0.684788154120005	0.434967488224911
256	3.65500208905665	52.2171896240754	0.352896619147107	0.149620001753615	0.0575229254947384	1.42834167900884	0.0635451454499481	10	0.6	0	0	0.0357367103154473	1.1556570526006	0.702913222742692	0.05	0.1	281.787740547111	0.493289010177035	4.24549251200887	0.890390292477004	0.109609707522996	29.2526647248757	0.764576745491579	0.792261669411053	0.493702511873655	0.888384746664143	0.753415220157994	0.57064586733297
288	3.93316524658965	63.5933087317242	0.14862240126758	0.0684272496301808	0.0566795668968137	1.68472294611145	0.0957837306874728	10	0.6	0	0	-0.125436406408174	1.63804175315334	0.57803220380006	0.05	0.1	265.054117429561	0.431275237412786	4.6764761729522	0.946279947025402	0.0537200529745987	56.5829324500596	0.615078966921122	0.658150701998195	0.230564426345114	0.784104511527507	0.593489418073873	0.503615472553483
344	2.71198266312107	53.7707854638671	0.397115451049579	0.128402597605438	0.0415616354659254	2.44327429819073	0.283111625156883	10	0.6	0	0	0.475714574091004	1.47771840285404	0.842339436124237	0.05	0.1	452.025375679147	0.938373575796547	3.93074204164126	0.832760624184515	0.167239375815485	-58.6348477237945	0.632985928231323	0.718264449077754	0.347028198175487	0.776275308777753	0.610613459109099	-0.0534091281237075
358	2.28176399799146	57.3310968360543	0.4930970141632	0.0757204021260703	0.0569259801741112	1.20575758731261	0.269663567128435	10	0.6	0	0	-0.0903268026142972	0.998963051475102	0.550282274210026	0.05	0.1	226.313408755843	0.428343174060966	3.38849454111815	0.8582104891638	0.141789510836201	18.923335691809	0.723364186320292	0.733153130512995	0.527499484197615	0.92779690578395	0.716143876898687	0.505301004468986
380	3.47830363897528	24.0902588162992	0.125734561879996	0.0408104174122263	0.0350896568741601	1.33680738617517	0.183587699841516	10	0.6	0	0	0.435969016484902	3.2944495663021	0.636644016456159	0.05	0.1	213.323136681376	0.655568837074362	3.8699981695367	0.934774490034846	0.0551553437417247	-7.80218799091271	0.661412149695724	0.662200214674675	0.732155960626512	0.970230295346763	0.658435179230401	0.463221644254841
383	2.53657864897353	63.8994294888803	0.271512246211764	0.0359306366629576	0.0420231129006357	1.02036344400624	0.263011872332083	10	0.6	0	0	-0.0634492941030531	1.34063498668402	0.613949151017679	0.05	0.1	402.496380197115	0.743122038824075	2.71057117623769	0.94577862707103	0.0542213729289722	-8.49425626857203	0.634967624480032	0.660095279748488	0.448086147595906	0.967589668352158	0.631726591315248	0.0681974088429119
398	3.64619325271165	51.2940328946775	0.450309224031078	0.18709685275196	0.0483471255492173	1.29183870125182	0.117687013148184	10	0.6	0	0	0.0435649329067975	0.522244999195563	0.653618220311412	0.05	0.1	265.465479863559	0.608062692223146	2.95618075037197	0.901313125437391	0.09868687456261	-17.1087013967321	0.634359147925014	0.662595530711958	0.516995889587696	0.934720749080342	0.627831222833048	0.336610452878856
403	2.86136139876273	57.0592855974377	0.370282250954901	0.042632291076068	0.0681838098596473	2.30117162726874	0.142303516130104	10	0.6	0	0	-0.875433698471372	0.786523081961331	0.52905942016703	0.05	0.1	526.081372390539	0.893497189457294	4.9902726653918	0.957224436445808	0.0427755635541907	5.413827801134	0.604049945662266	0.604689180027351	0.465694349386733	0.979343223353378	0.601984267997604	0.289744638402256
436	3.56715612465849	54.4661271127249	0.125828389462935	0.0648476574965043	0.0982171210030174	2.33451012677257	0.284246633194502	10	0.6	0	0	0.329860576349246	0.971893460709552	0.612844577297962	0.05	0.1	204.234658975263	0.530847966173127	4.93326451998822	0.921783911513872	0.0782160884861239	-2.20301491849566	0.666614367697551	0.770183737164351	-1.11159127669987	0.991594267717379	0.665773794469289	0.374274085285189
449	1.8546818987721	52.8112775147014	0.479978634221469	0.0888394726807435	0.0439876263768587	2.04096702138938	0.118047902974322	10	0.6	0	0	0.0300909304200161	1.7978309219693	0.853835598730406	0.05	0.1	333.311457784526	0.592850348489755	1.79513360410702	0.814864610652674	0.184163731835459	-38.4616005006294	0.665015736413293	0.686192005318923	0.369957661894383	0.853247513552852	0.650340487768578	-0.0559268552870023
462	1.92460491970396	58.8445130218028	0.491006794381424	0.0697849512192351	0.0558596213516126	1.32367586778648	0.131404564590847	10	0.6	0	0	-0.0497781038516101	1.89473903896042	0.875797791022713	0.05	0.1	461.683705454545	0.857996065941637	3.64536087524395	0.830144655367782	0.168082683676281	-37.338662339689	0.669754053864591	0.700757464068668	0.418410943561028	0.857532149790018	0.655507268843593	0.0930129635086668
481	3.78993483436757	17.2539859298868	0.191569565092944	0.0580414497330978	0.0414896118085085	1.96605888938813	0.176308800920988	10	0.6	0	0	-0.119638082859869	0.815380135930786	0.526354032208377	0.05	0.1	308.436776259186	0.378313775164221	2.60747758187702	0.972505002265181	0.0260053565887519	51.7832858629941	0.645287033471595	0.723167246921019	0.609328680911386	0.802417843826508	0.625528817854246	0.471744290123482
485	0.878319738841765	56.4321906056405	0.193210139541519	0.100509828697196	0.0590288566408813	1.90144861275398	0.135003605175299	10	0.6	0	0	0.227645643161445	0.663645456621258	0.541483780761009	0.05	0.1	323.0828208025	0.712919443246405	3.1147932010306	0.618379368694584	0.381620631305413	-1.21829153975708	0.738125652255194	0.741316334953619	0.310018994749232	0.995351537368448	0.737660805992039	0.315363090323345
488	3.58985338527237	37.2814755129076	0.165004739940634	0.0845899806565558	0.038324841839855	2.09675028715131	0.285034340845903	10	0.6	0	0	-0.210543633071028	0.663577185321402	0.585772724489576	0.05	0.1	118.359443064946	0.598460100916429	2.96689552160301	0.90776552698262	0.0907734089209096	-70.8499479612813	0.621092748009668	0.704288865869061	0.566657904248081	0.729667879322939	0.594059535941962	0.168396435226733
513	2.58301101745246	62.2791919681612	0.187339578050813	0.0254526875240042	0.0695213643492299	2.46415753265105	0.0848613391559857	10	0.6	0	0	0.0408853013258823	2.22451959816949	0.742823402882937	0.05	0.1	481.754762065483	0.93400078380201	3.4472911834937	0.949394895495604	0.0505810132706315	-43.8861619371219	0.609291493350371	0.634170763329964	0.225542055117496	0.832549782092676	0.592546471559639	-0.123279357327122
520	2.66129416723796	25.3374363599985	0.409251283625723	0.127151050598897	0.0874519726583976	2.31655500960376	0.198885545413422	10	0.6	0	0	-0.210007443889048	0.669658368765217	0.681097076358784	0.05	0.1	532.7726928437	0.724098544020252	3.50597472791838	0.905156561559079	0.0946182308286838	12.1434532523262	0.673813099564663	0.678088740378306	-0.271504675177334	0.953665943807918	0.669179693945454	0.213121694553389
530	1.58566507584679	16.9285303572791	0.22021431742246	0.019928430006806	0.0772618981272736	1.51029163226964	0.144711288085539	10	0.6	0	0	-0.461555041587705	0.68814267203591	0.803567803419925	0.05	0.1	528.229431844423	0.819608306893896	4.98921915329491	0.849901334094653	0.0652406274771391	-7.77166985527569	0.69771181204398	0.728732923482663	0.238215222706809	0.970346739078386	0.694746485951818	0.354104709527397
534	3.41605987000096	30.096035567157	0.369742192639849	0.0181152960556165	0.0721710435276251	1.79184777512767	0.0569849788010982	10	0.6	0	0	-0.250582507229681	1.03168743850276	0.733794664141626	0.05	0.1	354.706756400274	0.323460066003473	4.58658742140354	0.965286913824703	0.0209551959253699	63.9445532049077	0.695893387707812	0.750454273357866	-0.1433666922306	0.756015816933604	0.671494969401173	0.523624220410247
558	3.73847020964067	52.5326951791219	0.328149255285109	0.120983914095435	0.0947511392344959	1.01829647785905	0.00697005009603223	10	0.6	0	0	0.121782172295164	1.40941100423663	0.629915741332767	0.05	0.1	464.103310072843	0.597834029187371	4.81342519997313	0.93628726720183	0.0637127327981697	59.8246340948263	0.624065825441275	0.674596638104548	-0.255159527195652	0.771735609284827	0.601239386369758	0.464409112676944
635	3.76742115605968	61.3383518165622	0.310313822426979	0.115868920667967	0.0400316443680467	1.69012059419887	0.0160159993525669	10	0.6	0	0	-0.0920577738862753	1.76705387316973	0.831367576276589	0.05	0.1	377.286933840852	0.88248137327958	4.65152887052462	0.898317625128907	0.101682374871093	-43.3937795831822	0.675205772769389	0.713134640441757	0.554086870280876	0.834428495765088	0.658648622345898	0.170419805082878
682	2.1403616360111	69.8068006801451	0.409967526379026	0.0481001008665655	0.051831783565428	1.5001768209041	0.0590594774852784	10	0.6	0	0	-0.458241870840193	0.730226272125834	0.756472870268148	0.05	0.1	514.464479342319	0.615901115916623	2.2316829046382	0.930176202478636	0.069823797521363	-1.31094622980176	0.629364885639977	0.651612242471159	0.260981348142637	0.994998007978925	0.62886468643787	-0.0454034645239636
702	1.57959055042807	63.1654135152537	0.366915148062126	0.0174594422930197	0.0952114940092254	2.01327403262876	0.122702311362467	10	0.6	0	0	0.0179887940259595	1.73272369836118	0.714594462427588	0.05	0.1	209.75112116884	0.374735812737949	2.23390215506493	0.879818559903313	0.101386528376822	-3.18614345851862	0.711125763543339	0.717078634923053	0.268858593932132	0.987843083266718	0.70991007187001	0.425308243326909
764	3.73094432229686	47.5706179009614	0.117214356370836	0.0534425193459925	0.0312746867023291	2.04465251767293	0.219647720744669	10	0.6	0	0	0.431788070794096	1.63737258554314	0.684565698441381	0.05	0.1	319.458342957989	0.423340294800392	3.62953898246844	0.949503329936387	0.0504966700636123	48.5088032266125	0.660544657769324	0.706964879954543	0.490400991376387	0.814911823860156	0.642035840155339	0.386147434021659
774	1.47224970416736	45.9758539572246	0.12581889742325	0.0766106356571478	0.0612957188656068	2.39858301514694	0.085174202353309	10	0.6	0	0	-0.200682885106971	0.790688933474333	0.764106775198182	0.05	0.1	425.044068542795	0.817677588210291	3.67209797104453	0.770822345879135	0.228619609474473	-29.4375333578471	0.75828484635286	0.772390188183291	0.325925305068158	0.887679369581507	0.747052783311011	0.169793844309843
786	3.29165740836955	58.504700999942	0.29708458715914	0.0712366656126625	0.0758902828850738	2.06512031637371	0.0655087906706653	10	0.6	0	0	0.273332311200599	1.48853174945737	0.832645605100619	0.05	0.1	241.106109782637	0.379624254898924	1.46350473000831	0.921897019869048	0.0781029801309542	-34.1350229299779	0.764939529739927	0.794137067230282	0.0928924726467244	0.869755823348467	0.751915112074773	0.161061045020451
856	0.369974836879398	58.3429831444952	0.360950114885788	0.0927140059846984	0.0462935123109229	2.4190797202378	0.188509502256526	10	0.6	0	0	-0.304180628994564	0.997795260044651	0.811313274275192	0.05	0.1	243.360864787065	0.306057284169857	4.19413949325408	0.311283836477215	0.684818549474608	20.7964871764626	0.66395254956522	0.763978412123646	-0.0253476095337135	0.920649786727878	0.656017528238008	0.460961296807223
884	2.8686185157246	39.5352543329519	0.104427822681343	0.0241789440131648	0.0828488793554478	1.61729164566719	0.20128239127867	10	0.6	0	0	-0.0028033375287444	2.38782052015319	0.842014007988392	0.05	0.1	444.676439810859	0.50951714818809	4.38107219495861	0.946769175691495	0.0443627015638638	52.9305896814359	0.621670472547456	0.663209724250438	0.0820712670572855	0.798040238997924	0.601474496447248	0.471434583713845
894	3.34953541650881	54.5515589902883	0.366300090712635	0.0440465937201151	0.0378639882189054	2.04898555020289	0.152557490417993	10	0.6	0	0	-0.539323582565097	1.38869901508498	0.59695633039668	0.05	0.1	175.918672688268	0.440366633162073	3.62191020260654	0.938724881900929	0.0612751180990694	-1.04479789749802	0.623696907613415	0.625809882400052	0.6680366910926	0.996013512508662	0.623298258864281	0.465181324597258
908	2.54276278733404	16.5783739679392	0.218487339149456	0.111084033409638	0.0681349502507294	1.39117866307086	0.0566903751607474	10	0.6	0	0	0.347522092679293	1.74037004808913	0.572263806719456	0.05	0.1	475.227616273438	0.744560623934754	4.89297499688946	0.883809381263856	0.105700571181765	44.3467901574241	0.622072838183514	0.648391264055577	0.390624831277463	0.830792228174556	0.60515206100097	0.46925944547784
