Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	SM	Recharge	SUZ	SLZ	QSTZ	QSUZ	QSLZ
19811001	0.587	0.180	0.0	12.4	0.75	1.29	0.0	68.9	0.0	0.0	58.1	0.000	0.000	0.587
19811002	0.581	0.180	0.0	12.1	0.71	1.23	0.0	68.2	0.0	0.0	57.5	0.000	0.000	0.581
19811003	0.581	0.180	2.0	11.5	0.66	1.15	0.0	68.9	0.6	0.0	57.6	0.000	0.000	0.581
19811004	0.672	0.180	5.4	11.1	0.64	1.08	0.0	71.8	1.9	0.8	58.0	0.000	0.086	0.586
19811005	0.588	0.180	0.0	10.4	0.59	0.99	0.0	71.2	0.0	0.0	58.2	0.000	0.000	0.588
19811006	0.582	0.190	0.0	8.1	0.47	0.78	0.0	70.7	0.0	0.0	57.6	0.000	0.000	0.582
19811007	0.707	0.180	6.1	7.9	0.45	0.75	0.0	74.1	2.2	1.1	58.0	0.000	0.121	0.586
19811008	0.658	0.190	1.5	7.9	0.45	0.72	0.0	74.6	0.6	0.6	58.4	0.000	0.068	0.590
19811009	0.590	0.190	0.1	7.0	0.40	0.64	0.0	74.3	0.0	0.0	58.5	0.000	0.000	0.590
19811010	1.272	0.260	17.8	10.5	0.55	0.83	0.0	83.8	7.8	6.1	58.9	0.000	0.678	0.595
19811011	1.109	0.300	0.0	7.4	0.43	0.61	0.0	83.4	0.0	4.6	59.3	0.000	0.510	0.599
19811012	1.395	0.280	8.6	6.1	0.37	0.51	0.0	87.2	4.3	7.1	59.7	0.000	0.792	0.603
19811013	1.502	0.330	5.2	5.7	0.35	0.47	0.0	89.3	2.8	8.1	60.1	0.000	0.895	0.607
19811014	1.324	0.330	0.1	5.3	0.32	0.43	0.0	89.0	0.1	6.4	60.4	0.000	0.714	0.611
19811015	1.157	0.320	0.0	4.6	0.28	0.37	0.0	88.8	0.0	4.9	60.8	0.000	0.542	0.614
19811016	1.058	0.300	0.9	2.4	0.19	0.26	0.0	89.0	0.5	4.0	61.2	0.000	0.440	0.618
19811017	0.918	0.280	0.0	3.6	0.23	0.31	0.0	88.8	0.0	2.7	61.6	0.000	0.296	0.622
19811018	0.792	0.300	0.0	0.0	0.12	0.16	0.0	88.7	0.0	1.5	62.0	0.000	0.166	0.626
19811019	1.389	0.320	12.3	0.8	0.15	0.19	0.0	93.7	7.1	6.8	62.3	0.000	0.759	0.630
19811020	2.185	0.460	15.0	6.2	0.32	0.40	0.0	98.7	9.7	14.0	62.7	0.000	1.552	0.633
